Part_Description,Country_Of_Origin
Manufactured for reliable needs: inductor with long-life.1mH SMD power inductor.,Japan
"foundry-produced passive components, compact.",Taiwan
RF module (aerospace) with low-power features.,USA
"A optical capacitor (ceramic/tantalum) for ultra-low power applications.100nF 50V, ceramic.",Japan
A certified test equipment components for high-quality applications.,Germany
Manufactured for next-gen needs: processor with high-resolution.,South Korea
"Manufactured for cutting-edge needs: capacitor (ceramic/tantalum) with high-frequency.100nF 50V, ceramic.",Japan
transistor (OSAT (assembly & test)) with reliable packaging features.MOSFET SOT-23.,Malaysia
A high voltage relay (industrial) for precision-engineered applications.,Germany
A certified test equipment components for automotive-certified applications.,Germany
A compact crystal oscillator for cutting-edge applications.,Japan
Manufactured for OSAT (assembly & test) needs: standard logic IC with component-level.voltage regulator DIP-14.,Malaysia
Manufactured for robust needs: connector (heavy duty) with harsh environment.USB Type-C high-density.,Germany
Manufactured for foundry-produced needs: network IC with IoT-ready.voltage regulator DIP-14.,Taiwan
Manufactured for automotive-certified needs: power module with harsh environment.,Germany
op-amp (OSAT (assembly & test)) with component-level features.,Malaysia
A compact network IC for innovative applications.logic gate QFN-16.,Taiwan
A certified test equipment components for precision-engineered applications.,Germany
A low-power sensor for military-grade applications.temperature digital output.,USA
standard logic IC (high-volume) with component-level features.logic gate QFN-16.,Malaysia
crystal oscillator (high-precision) with compact features.,Japan
"mass-produced power supply, industrial standard.",China
"OSAT (assembly & test) op-amp, component-level.",Malaysia
"A general purpose resistor for high-volume applications.10k ohm 5% tolerance, 0402.",China
connector (heavy duty) (robust) with certified features.USB Type-C 4-pin.,Germany
A low-power RF module for specialized applications.,USA
A low-power FPGA for specialized applications.,USA
diode (reliable) with consumer grade features.,China
Manufactured for military-grade needs: power management IC with automotive-grade.voltage regulator QFN-16.,USA
"robust connector (heavy duty), safety-critical.HDMI 20-pin.",Germany
Manufactured for next-gen needs: OLED panel with fast-charging.green 0805.,South Korea
"foundry-produced display panel components, AI-enabled.",Taiwan
A customizable power management IC for rugged applications.logic gate QFN-16.,USA
Manufactured for high-volume needs: transistor with component-level.IGBT TO-220.,Malaysia
"discrete component diode, automotive assembly.",Malaysia
Manufactured for precision-engineered needs: connector (heavy duty) with harsh environment.USB Type-C high-density.,Germany
"assembly LED light modules, sub-assembly.red 0805.",Vietnam
A harsh environment test equipment components for industrial-grade applications.,Germany
"reliable diode, industrial standard.",China
"reliable diode, industrial standard.",China
Manufactured for leading-edge needs: display panel components with high-integration.,Taiwan
Manufactured for OSAT (assembly & test) needs: sensor assembly with reliable packaging.pressure I2C interface.,Malaysia
Manufactured for consumer electronics needs: cable assembly with sub-assembly.,Vietnam
"A long-life sensor (hall effect, pressure) for reliable applications.accelerometer analog output.",Japan
Manufactured for consumer electronics needs: display driver IC with mobile-optimized.voltage regulator SOIC-8.,South Korea
A automotive assembly diode for semiconductor packaging applications.,Malaysia
"sensor (hall effect, pressure) (cutting-edge) with long-life features.accelerometer analog output.",Japan
A manual assembly cable assembly for growing production applications.,Vietnam
connector (heavy duty) (precision-engineered) with high voltage features.board-to-board high-density.,Germany
OLED panel (consumer electronics) with mobile-optimized features.red SMD.,South Korea
test equipment components (precision-engineered) with safety-critical features.,Germany
op-amp (discrete component) with automotive assembly features.,Malaysia
"aerospace FPGA, space-grade.",USA
Manufactured for robust needs: sensor (industrial) with harsh environment.temperature digital output.,Germany
Manufactured for next-gen needs: power semiconductor with fast-charging.,South Korea
A optical camera module for miniature applications.,Japan
A mobile-optimized display driver IC for consumer electronics applications.op-amp QFN-16.,South Korea
connector (heavy duty) (industrial-grade) with safety-critical features.board-to-board 4-pin.,Germany
"chipset display panel components, AI-enabled.",Taiwan
"sensor (hall effect, pressure) (cutting-edge) with long-life features.temperature analog output.",Japan
Manufactured for reliable needs: LED with SMD.green 0603.,China
A sub-assembly LED light modules for consumer electronics applications.blue 0805.,Vietnam
A high-resolution display driver IC for next-gen applications.voltage regulator QFN-16.,South Korea
Manufactured for growing production needs: power adapters with volume production.,Vietnam
Manufactured for consumer electronics needs: display driver IC with compact design.voltage regulator SOIC-8.,South Korea
A high-resolution power semiconductor for high-bandwidth applications.,South Korea
Manufactured for mass-produced needs: diode with general purpose.,China
diode (cost-effective) with SMD features.,China
relay (industrial) (robust) with harsh environment features.,Germany
"standard connector, through-hole.USB Type-C 20-pin.",China
"consumer electronics OLED panel, fast-charging.white 0805.",South Korea
A high-resolution processor for high-bandwidth applications.,South Korea
A fast-charging power semiconductor for advanced applications.,South Korea
"robust power module, certified.",Germany
processor (consumer electronics) with high-resolution features.,South Korea
Manufactured for ultra-low power needs: inductor with low-ESR.10uH SMD power inductor.,Japan
"reliable resistor, industrial standard.1k ohm 5% tolerance, 0402.",China
A fast-charging OLED panel for advanced applications.green 0603.,South Korea
"growing production LED light modules, manual assembly.blue 0603.",Vietnam
Manufactured for high-volume needs: transistor with general purpose.MOSFET TO-220.,China
power module (industrial-grade) with safety-critical features.,Germany
Manufactured for discrete component needs: op-amp with reliable packaging.,Malaysia
inductor (ultra-low power) with optical features.1mH SMD power inductor.,Japan
Manufactured for high-volume needs: sensor assembly with reliable packaging.accelerometer analog output.,Malaysia
camera module (automotive-grade) with long-life features.,Japan
"cost-effective transistor, industrial standard.NPN BJT TO-220.",China
A volume production cable assembly for assembly applications.,Vietnam
Manufactured for semiconductor packaging needs: sensor assembly with automotive assembly.pressure digital output.,Malaysia
Manufactured for high-performance needs: analog IC with low-power.logic gate QFN-16.,USA
inductor (automotive-grade) with high-frequency features.100uH ferrite core.,Japan
Manufactured for high-volume needs: sensor assembly with component-level.pressure analog output.,Malaysia
Manufactured for OSAT (assembly & test) needs: standard logic IC with component-level.op-amp QFN-16.,Malaysia
